"FY 2018 Active Providers",""
"Selection Criteria",""
"Provider and Supplier Type(s):","Dually Certified SNF/NFs - Medicare and Medicaid, Distinct Part SNF/NFs - Medicare and Medicaid, Skilled Nursing Facilities (SNFs) - Medicare Only, Nursing Facilities - Medicaid Only"
"Year Type:","Fiscal Year"
"Year:","2018"
"Quarter:","Full Year"
"CCN","Provider Name","Address","City","State","Zip Code","County","Region","Phone Number","Provider Type","Original Participation Date","Termination Date","Number of Certified Beds","Hospital Based","Chain Name","Ownership Type"
"015037","CRIMSON HEALTH AND REHAB, LLC","3312 WOODLEY ROAD","MONTGOMERY","AL","36116","Montgomery","(IV) Atlanta","334 288-2780","SNF/NF (Dually Certified)","01/01/1970","05/01/2022","105","N","","For Profit"
"015040","DIVERSICARE OF MONTGOMERY","2020 NORTH COUNTRY CLUB DRIVE","MONTGOMERY","AL","36106","Montgomery","(IV) Atlanta","334 263-1643","SNF/NF (Dually Certified)","07/17/1979","","138","N","","For Profit"
"015042","SUMTER HEALTH AND REHABILITATION, L L C","1505 EAST 4TH AVENUE","YORK","AL","36925","Sumter","(IV) Atlanta","205 392-5281","SNF/NF (Dually Certified)","01/16/1967","","125","N","","For Profit"
"015044","CAREGIVERS OF PLEASANT GROVE, INC","700 FIRST AVENUE","PLEASANT GROVE","AL","35127","Jefferson","(IV) Atlanta","205 744-8120","SNF/NF (Dually Certified)","01/13/1967","","64","N","","For Profit"
"015045","EAMC LANIER NURSING HOME","4800 48TH STREET","VALLEY","AL","36854","Chambers","(IV) Atlanta","334 756-1401","SNF/NF (Dually Certified)","05/01/1977","","103","N","","Non-Profit"
"015047","NORTHWAY HEALTH AND REHABILITATION, LLC","1424 NORTH 25TH STREET","BIRMINGHAM","AL","35234","Jefferson","(IV) Atlanta","205 328-5870","SNF/NF (Dually Certified)","11/01/1976","","113","N","","For Profit"
"015048","CULLMAN HEALTH CARE CENTER","1607 MAIN AVE NE","CULLMAN","AL","35055","Cullman","(IV) Atlanta","256 734-8745","SNF/NF (Dually Certified)","02/01/1971","","95","N","","For Profit"
"015049","EASTERN SHORE REHABILITATION AND HEALTH CENTER","101 VILLA DRIVE","DAPHNE","AL","36526","Baldwin","(IV) Atlanta","251 621-4200","SNF/NF (Dually Certified)","01/23/1967","","117","N","","Non-Profit"
"015050","OAK CREST HEALTH & WELLNESS","325 SELMA ROAD","BESSEMER","AL","35020","Jefferson","(IV) Atlanta","205 428-9383","SNF/NF (Dually Certified)","01/24/1967","","79","N","","For Profit"
"015053","CLEBURNE COUNTY NURSING HOME","122 BROCKFORD ROAD","HEFLIN","AL","36264","Cleburne","(IV) Atlanta","256 463-2121","SNF/NF (Dually Certified)","01/20/1967","","82","N","","Government"
"015060","RIDGEWAY REHABILITATION & SENIOR LIVING","4201 BESSEMER SUPER HIGHWAY","BESSEMER","AL","35020","Jefferson","(IV) Atlanta","205 428-3249","SNF/NF (Dually Certified)","02/02/1967","","69","N","","For Profit"
"015063","DIVERSICARE OF BOAZ","600 CORLEY AVENUE","BOAZ","AL","35957","Marshall","(IV) Atlanta","256 593-8380","SNF/NF (Dually Certified)","12/01/1970","","100","N","","For Profit"
"015065","PRATTVILLE HEALTH AND REHABILITATION, LLC","601 JASMINE TRAIL","PRATTVILLE","AL","36066","Autauga","(IV) Atlanta","334 365-2241","SNF/NF (Dually Certified)","04/01/1974","","162","N","","For Profit"
"015066","TERRACE MANOR NURSING & REHABILITATION CENTER, INC","390 UNDERWOOD ROAD","RUSSELLVILLE","AL","35653","Franklin","(IV) Atlanta","256 332-3826","SNF/NF (Dually Certified)","08/01/1976","","63","N","","For Profit"
"015067","COTTAGE OF THE SHOALS","500 JOHN ALDRIDGE DRIVE","TUSCUMBIA","AL","35674","Colbert","(IV) Atlanta","256 383-4541","SNF/NF (Dually Certified)","01/01/1972","","103","N","GENESIS HEALTHCARE","For Profit"
"015071","ARABELLA HEALTH & WELLNESS OF RUSSELLVILLE","705 GANDY STREET NE","RUSSELLVILLE","AL","35653","Franklin","(IV) Atlanta","256 332-3773","SNF/NF (Dually Certified)","03/03/1967","","50","N","","For Profit"
"015073","HANCEVILLE NURSING & REHAB CENTER, INC","420 MAIN STREET NE","HANCEVILLE","AL","35077","Cullman","(IV) Atlanta","256 352-6481","SNF/NF (Dually Certified)","03/17/1967","","208","N","","For Profit"
"015075","SUMMERFORD HEALTH AND REHAB, LLC","4087 HIGHWAY 31 SOUTHWEST","FALKVILLE","AL","35622","Morgan","(IV) Atlanta","256 784-5275","SNF/NF (Dually Certified)","04/19/1967","","216","N","","For Profit"
"015076","FAIR HAVEN","1424 MONTCLAIR ROAD","BIRMINGHAM","AL","35210","Jefferson","(IV) Atlanta","205 956-4150","SNF/NF (Dually Certified)","03/07/1967","","259","N","","Non-Profit"
"015083","ELBA NURSING AND REHABILITATION CENTER, LLC","987 DRAYTON STREET","ELBA","AL","36323","Coffee","(IV) Atlanta","334 897-2257","SNF/NF (Dually Certified)","05/25/1967","","111","N","","For Profit"
"015084","PARK PLACE","100 PARK PLACE","SELMA","AL","36701","Dallas","(IV) Atlanta","334 872-3471","SNF/NF (Dually Certified)","11/01/1979","","103","N","","For Profit"
"015089","EVERGREEN NURSING HOME","100 SANDERS DRIVE","EVERGREEN","AL","36401","Conecuh","(IV) Atlanta","251 578-3783","SNF/NF (Dually Certified)","10/17/1967","","61","N","","For Profit"
"015091","NORTH HILL NURSING AND REHABILITATION CTR, LLC","200 NORTH PINE HILL ROAD","BIRMINGHAM","AL","35217","Jefferson","(IV) Atlanta","205 849-2352","SNF/NF (Dually Certified)","07/01/1968","","190","N","","For Profit"
"015097","SOUTH HEALTH AND REHABILITATION, LLC","1220 SOUTH 17TH STREET","BIRMINGHAM","AL","35205","Jefferson","(IV) Atlanta","205 933-2180","SNF/NF (Dually Certified)","10/01/1976","","83","N","","For Profit"
"015098","ALLEN HEALTH AND REHABILITATION","735 SOUTH WASHINGTON AVENUE","MOBILE","AL","36603","Mobile","(IV) Atlanta","251 433-2642","SNF/NF (Dually Certified)","05/05/1973","","119","N","","Non-Profit"
"015100","CROWNE HEALTH CARE OF MOBILE","954 NAVCO ROAD","MOBILE","AL","36605","Mobile","(IV) Atlanta","251 473-8684","SNF/NF (Dually Certified)","07/01/1974","","148","N","","For Profit"
"015101","ALTOONA  HEALTH & REHAB","6532 WALNUT GROVE ROAD","ALTOONA","AL","35952","Etowah","(IV) Atlanta","205 589-6394","SNF/NF (Dually Certified)","05/01/1973","","50","N","","For Profit"
"015103","ASHLAND PLACE HEALTH AND REHABILITATION, LLC","148 TUSCALOOSA ST","MOBILE","AL","36607","Mobile","(IV) Atlanta","251 471-5431","SNF/NF (Dually Certified)","10/21/1968","","164","N","","For Profit"
"015104","SOUTHLAND NURSING HOME","500 SHIVERS TERRACE","MARION","AL","36756","Perry","(IV) Atlanta","334 683-6141","SNF/NF (Dually Certified)","02/19/1970","","91","N","","For Profit"
"015109","CIVIC CENTER HEALTH AND REHABILITATION, LLC","1201 22ND STREET NORTH","BIRMINGHAM","AL","35234","Jefferson","(IV) Atlanta","205 251-5271","SNF/NF (Dually Certified)","04/04/1969","","95","N","","For Profit"
"015111","DIVERSICARE OF BIG SPRINGS","500 ST. CLAIR AVENUE SOUTHWEST","HUNTSVILLE","AL","35801","Madison","(IV) Atlanta","256 539-5111","SNF/NF (Dually Certified)","11/01/1978","","145","N","","For Profit"
"015112","MAGNOLIA HAVEN HEALTH AND REHABILITATION CENTER","603 WRIGHT STREET","TUSKEGEE","AL","36083","Macon","(IV) Atlanta","334 727-4960","SNF/NF (Dually Certified)","09/01/1975","","111","N","","For Profit"
"015113","RIVER CITY CENTER","1350 FOURTEENTH AVENUE SOUTHEAST","DECATUR","AL","35601","Morgan","(IV) Atlanta","256 355-6911","SNF/NF (Dually Certified)","10/08/1969","","183","N","GENESIS HEALTHCARE","For Profit"
"015114","SHADESCREST HEALTH CARE CENTER","331 WEST 25TH STREET","JASPER","AL","35502","Walker","(IV) Atlanta","205 384-9086","SNF/NF (Dually Certified)","12/29/1970","","107","N","","For Profit"
"015115","CORDOVA HEALTH AND REHABILITATION, LLC","70 HIGHLAND STREET WEST","CORDOVA","AL","35550","Walker","(IV) Atlanta","205 483-9282","SNF/NF (Dually Certified)","04/01/1971","","114","N","","For Profit"
"015116","SIGNATURE HEALTHCARE OF WHITESBURG GARDENS","105 TEAKWOOD DRIVE SW","HUNTSVILLE","AL","35801","Madison","(IV) Atlanta","256 881-5000","SNF/NF (Dually Certified)","09/01/1972","","159","N","","For Profit"
"015117","OAK KNOLL HEALTH AND REHABILITATION, LLC","824 SIXTH AVENUE WEST","BIRMINGHAM","AL","35204","Jefferson","(IV) Atlanta","205 787-2619","SNF/NF (Dually Certified)","09/13/1972","","100","N","","For Profit"
"015119","SELMA HEALTH AND REHAB, LLC","11 BELL ROAD","SELMA","AL","36701","Dallas","(IV) Atlanta","334 874-7425","SNF/NF (Dually Certified)","03/13/1973","","172","N","","For Profit"
"015120","NHC HEALTHCARE, ANNISTON","2300 COLEMAN RD","ANNISTON","AL","36207","Calhoun","(IV) Atlanta","256 831-5730","SNF/NF (Dually Certified)","06/12/1973","","151","N","","For Profit"
"015121","CROWNE HEALTH CARE OF CITRONELLE","19225 NORTH 4TH STREET","CITRONELLE","AL","36522","Mobile","(IV) Atlanta","251 866-5509","SNF/NF (Dually Certified)","07/01/1977","","69","N","","For Profit"
"015123","WASHINGTON COUNTY NURSING HOME","14600 ST STEPHENS AVENUE","CHATOM","AL","36518","Washington","(IV) Atlanta","251 847-6412","SNF/NF (Dually Certified)","01/01/1975","","88","Y","","Government"
"015124","CLAY COUNTY NURSING HOME","83825 HIGHWAY 9","ASHLAND","AL","36251","Clay","(IV) Atlanta","256 354-2131","SNF/NF (Dually Certified)","12/01/1974","","83","Y","","Non-Profit"
"015126","TRAYLOR RETIREMENT COMMUNITY","1235 YANCEY STREET","ROANOKE","AL","36274","Randolph","(IV) Atlanta","334 863-3500","SNF/NF (Dually Certified)","08/01/1975","","123","N","","For Profit"
"015127","BROOKSHIRE HEALTHCARE CENTER","4320 JUDITH LANE","HUNTSVILLE","AL","35805","Madison","(IV) Atlanta","256 837-1730","SNF/NF (Dually Certified)","11/01/1975","","129","N","","For Profit"
"015128","NHC HEALTHCARE, MOULTON","300 HOSPITAL STREET","MOULTON","AL","35650","Lawrence","(IV) Atlanta","256 974-1146","SNF/NF (Dually Certified)","09/01/1977","","136","N","","For Profit"
"015129","ATMORE NURSING CENTER","715 EAST LAUREL STREET","ATMORE","AL","36502","Escambia","(IV) Atlanta","251 368-9121","SNF/NF (Dually Certified)","10/01/1975","","100","N","","For Profit"
"015132","DIVERSICARE OF OXFORD","1130 SOUTH HALE STREET","OXFORD","AL","36203","Calhoun","(IV) Atlanta","256 831-0481","SNF/NF (Dually Certified)","12/01/1975","","173","N","","For Profit"
"015133","MAGNOLIA RIDGE","420 DEAN DRIVE","GARDENDALE","AL","35071","Jefferson","(IV) Atlanta","205 631-8709","SNF/NF (Dually Certified)","01/16/1976","","148","N","GENESIS HEALTHCARE","For Profit"
"015134","BIRMINGHAM NURSING AND REHABILITATION CENTER EAST","733 MARY VANN LANE","BIRMINGHAM","AL","35215","Jefferson","(IV) Atlanta","205 854-1361","SNF/NF (Dually Certified)","03/01/1976","","132","N","","For Profit"
"015135","JOHN KNOX MANOR INC  I I","4401 NARROW LANE ROAD","MONTGOMERY","AL","36116","Montgomery","(IV) Atlanta","334 281-6336","SNF/NF (Dually Certified)","05/10/1976","","98","N","","Non-Profit"
"015136","FALKVILLE HEALTH CARE CENTER","10 WEST 3RD STREET","FALKVILLE","AL","35622","Morgan","(IV) Atlanta","256 784-5291","SNF/NF (Dually Certified)","05/01/1976","","116","N","","For Profit"
"015137","ALICEVILLE MANOR NURSING HOME","703 17TH STREET NORTHWEST","ALICEVILLE","AL","35442","Pickens","(IV) Atlanta","205 373-6307","SNF/NF (Dually Certified)","01/01/1977","","100","N","","For Profit"
"015138","HENDRIX HEALTH AND REHABILITATION","1000 HIGHWAY 33","DOUBLE SPRINGS","AL","35553","Winston","(IV) Atlanta","205 489-2136","SNF/NF (Dually Certified)","10/01/1979","","110","N","","For Profit"
"015139","TALLASSEE HEALTH AND REHABILITATION, LLC","2639 GILMER AVENUE","TALLASSEE","AL","36078","Elmore","(IV) Atlanta","334 283-3975","SNF/NF (Dually Certified)","04/01/1976","","111","N","","For Profit"
"015141","ARBOR WOODS HEALTH AND REHAB","515 2ND AVENUE NORTHWEST","REFORM","AL","35481","Pickens","(IV) Atlanta","205 375-6379","SNF/NF (Dually Certified)","05/01/1976","","85","N","","For Profit"
"015142","LINEVILLE HEALTH AND REHABILITATION, LLC","88073 HIGHWAY 9","LINEVILLE","AL","36266","Clay","(IV) Atlanta","256 396-2104","SNF/NF (Dually Certified)","08/13/1976","","101","N","","For Profit"
"015143","FOREST MANOR HEALTH AND REHAB","2215 32ND STREET","NORTHPORT","AL","35476","Tuscaloosa","(IV) Atlanta","205 339-5400","SNF/NF (Dually Certified)","08/01/1976","","182","N","","For Profit"
"015144","THE HEALTHCARE CENTER AT BUCK CREEK","850 9TH STREET, NORTHWEST","ALABASTER","AL","35007","Shelby","(IV) Atlanta","205 663-3859","SNF/NF (Dually Certified)","06/01/1976","","198","N","","For Profit"
"015145","DIVERSICARE OF RIVERCHASE","2500 RIVERHAVEN DRIVE","BIRMINGHAM","AL","35244","Jefferson","(IV) Atlanta","205 987-0901","SNF/NF (Dually Certified)","12/01/1979","","132","N","","For Profit"
"015147","GLENWOOD CENTER","211 ANA DRIVE","FLORENCE","AL","35630","Lauderdale","(IV) Atlanta","256 766-8963","SNF/NF (Dually Certified)","12/07/1976","","125","N","GENESIS HEALTHCARE","For Profit"
"015148","DIVERSICARE OF ARAB","235 THIRD STREET SE","ARAB","AL","35016","Marshall","(IV) Atlanta","256 586-3111","SNF/NF (Dually Certified)","03/01/1977","","87","N","","For Profit"
"015149","SUNSET MANOR","251 SUNSET PLACE","GUIN","AL","35563","Marion","(IV) Atlanta","205 468-3331","SNF/NF (Dually Certified)","02/01/1977","","71","N","","For Profit"
"015150","WIREGRASS REHABILITATION CENTER & NURSING HOME","1200 MAPLE AVENUE WEST","GENEVA","AL","36340","Geneva","(IV) Atlanta","334 684-3655","SNF/NF (Dually Certified)","04/01/1977","","96","Y","","Government"
"015151","AZALEA HEALTH AND REHAB LLC","1758 SPRINGHILL AVE","MOBILE","AL","36607","Mobile","(IV) Atlanta","251 479-0551","SNF/NF (Dually Certified)","01/21/1977","","170","N","","For Profit"
"015152","EXTENDICARE HEALTH CENTER","950 SOUTH ST. ANDREWS STREET","DOTHAN","AL","36302","Houston","(IV) Atlanta","334 793-1177","SNF/NF (Dually Certified)","04/18/1978","","170","N","","For Profit"
"015153","ARLINGTON REHABILITATION & HEALTHCARE CENTER","1020 TUSCALOOSA AVENUE, SW","BIRMINGHAM","AL","35211","Jefferson","(IV) Atlanta","205 788-6330","SNF/NF (Dually Certified)","04/01/1977","","117","N","","For Profit"
"015154","FAYETTE MEDICAL CENTER LONG TERM CARE UNIT","1653 TEMPLE AVENUE NORTH","FAYETTE","AL","35555","Fayette","(IV) Atlanta","205 932-5966","SNF/NF (Dually Certified)","04/01/1977","","122","Y","","Government"
"015155","RIDGEVIEW HEALTH SERVICES, INC","907 11TH STREET, NE","JASPER","AL","35504","Walker","(IV) Atlanta","205 221-9111","SNF/NF (Dually Certified)","12/01/1977","","148","N","","For Profit"
"015156","CROWNE HEALTH CARE OF FT PAYNE","403 13TH STREET NORTHWEST","FORT PAYNE","AL","35967","Dekalb","(IV) Atlanta","256 845-5990","SNF/NF (Dually Certified)","01/01/1977","","123","N","","For Profit"
"015157","HALEYVILLE HEALTH CARE CENTER","2201 11TH AVENUE","HALEYVILLE","AL","35565","Winston","(IV) Atlanta","205 486-9478","SNF/NF (Dually Certified)","03/01/1977","","97","N","","For Profit"
"015158","DIVERSICARE OF MARION","505 EAST LAFAYETTE STREET","MARION","AL","36756","Perry","(IV) Atlanta","334 683-9696","SNF/NF (Dually Certified)","02/01/1977","","71","N","","For Profit"
"015159","DIVERSICARE OF ONEONTA","215 VALLEY ROAD","ONEONTA","AL","35121","Blount","(IV) Atlanta","205 274-2365","SNF/NF (Dually Certified)","06/01/1977","","120","N","","For Profit"
"015160","SYLACAUGA HEALTH AND REHAB SERVICES","1007 W FORT WILLIAMS ST","SYLACAUGA","AL","35150","Talladega","(IV) Atlanta","256 245-7402","SNF/NF (Dually Certified)","02/01/1977","","149","N","","Non-Profit"
"015162","TALLADEGA HEALTHCARE CENTER, INC","616 CHAFFEE STREET","TALLADEGA","AL","35160","Talladega","(IV) Atlanta","256 362-4197","SNF/NF (Dually Certified)","03/01/1977","","234","N","","For Profit"
"015163","ALBERTVILLE NURSING HOME","750 ALABAMA HIGHWAY 75 NORTH","ALBERTVILLE","AL","35950","Marshall","(IV) Atlanta","256 878-1398","SNF/NF (Dually Certified)","01/04/1977","","159","N","","For Profit"
"015164","CHOCTAW HEALTH AND REHAB","1406 EAST PUSHMATAHA STREET","BUTLER","AL","36904","Choctaw","(IV) Atlanta","205 459-5506","SNF/NF (Dually Certified)","03/01/1977","","120","N","","For Profit"
"015166","DADEVILLE HEALTHCARE CENTER","351 NORTH EAST STREET","DADEVILLE","AL","36853","Tallapoosa","(IV) Atlanta","256 825-9244","SNF/NF (Dually Certified)","08/01/1978","","144","N","","For Profit"
"015167","MARION REGIONAL NURSING HOME","184 SASSER DRIVE","HAMILTON","AL","35570","Marion","(IV) Atlanta","205 921-6340","SNF/NF (Dually Certified)","06/01/1977","","79","Y","","Non-Profit"
"015168","LITTLE SISTERS OF THE POOR SACRED HEART RESIDENCE","1655 MCGILL AVENUE","MOBILE","AL","36604","Mobile","(IV) Atlanta","251 476-6335","SNF/NF (Dually Certified)","07/01/1977","","75","N","","Non-Profit"
"015169","FLORENCE NURSING AND REHABILITATION CTR,  LLC","2107 CLOYD BLVD","FLORENCE","AL","35630","Lauderdale","(IV) Atlanta","256 766-5771","SNF/NF (Dually Certified)","05/01/1977","","147","N","","For Profit"
"015171","SOUTHERN SPRINGS HEALTHCARE FACILITY","745 SOUTHERN SPRINGS ROAD","UNION SPRINGS","AL","36089","Bullock","(IV) Atlanta","334 738-5590","SNF/NF (Dually Certified)","07/01/1977","","123","N","","For Profit"
"015174","COOSA VALLEY HEALTH AND REHAB","513 PINEVIEW AVENUE","GLENCOE","AL","35905","Etowah","(IV) Atlanta","256 492-5350","SNF/NF (Dually Certified)","07/01/1977","","124","N","","For Profit"
"015175","WESLEY PLACE ON HONEYSUCKLE","718 HONEYSUCKLE ROAD","DOTHAN","AL","36305","Houston","(IV) Atlanta","334 792-0921","SNF/NF (Dually Certified)","07/01/1977","","166","N","","Non-Profit"
"015176","CROSSVILLE HEALTH AND REHABILITATION, LLC","8922 HIGHWAY 227","CROSSVILLE","AL","35962","Dekalb","(IV) Atlanta","256 528-7844","SNF/NF (Dually Certified)","07/01/1977","","143","N","","For Profit"
"015177","WOODHAVEN MANOR NURSING HOME","105 WEST WINDSOR ST","DEMOPOLIS","AL","36732","Marengo","(IV) Atlanta","334 289-2741","SNF/NF (Dually Certified)","07/01/1977","","75","N","","For Profit"
"015178","GREENE COUNTY NURSING HOME","509 WILSON AVE","EUTAW","AL","35462","Greene","(IV) Atlanta","205 372-4545","SNF/NF (Dually Certified)","07/01/1977","","72","N","","For Profit"
"015179","PARKWOOD HEALTH CARE FACILITY","3301 STADIUM DRIVE","PHENIX CITY","AL","36867","Russell","(IV) Atlanta","334 297-0237","SNF/NF (Dually Certified)","07/01/1978","","74","N","","For Profit"
"015180","GADSDEN HEALTH AND REHAB CENTER","1945 DAVIS DRIVE","GADSDEN","AL","35904","Etowah","(IV) Atlanta","256 547-4938","SNF/NF (Dually Certified)","02/01/1977","","168","N","","For Profit"
"015182","GEORGIANA HEALTH AND REHABILITATION, LLC","206 PALMER AVENUE","GEORGIANA","AL","36033","Butler","(IV) Atlanta","334 376-2267","SNF/NF (Dually Certified)","08/01/1977","","91","N","","For Profit"
"015183","NORTH MOBILE NURSING AND REHABILITATION CTR","4525 ST STEPHENS ROAD","EIGHT MILE","AL","36613","Mobile","(IV) Atlanta","251 452-0996","SNF/NF (Dually Certified)","05/01/1978","","172","N","","For Profit"
"015184","CLOVERDALE REHABILITATION AND NURSING CENTER","412 CLOVERDALE ROAD","SCOTTSBORO","AL","35768","Jackson","(IV) Atlanta","256 259-1505","SNF/NF (Dually Certified)","08/01/1977","","141","N","","For Profit"
"015186","GLEN HAVEN HEALTH AND REHABILITATION, LLC","2201 32ND STREET","NORTHPORT","AL","35476","Tuscaloosa","(IV) Atlanta","205 339-5700","SNF/NF (Dually Certified)","04/01/1977","","200","N","","For Profit"
"015187","MOUNDVILLE HEALTH AND REHABILITATION, LLC","THIRD AVENUE","MOUNDVILLE","AL","35474","Hale","(IV) Atlanta","205 371-2252","SNF/NF (Dually Certified)","10/01/1977","","68","N","","For Profit"
"015188","JACKSON HEALTH CARE FACILITY","2616 NORTH COLLEGE AVENUE","JACKSON","AL","36545","Clarke","(IV) Atlanta","251 246-2476","SNF/NF (Dually Certified)","09/01/1977","","91","N","","For Profit"
"015189","DIVERSICARE OF PELL CITY","510 WOLF CREEK ROAD, NORTH","PELL CITY","AL","35125","St. Clair","(IV) Atlanta","205 338-3329","SNF/NF (Dually Certified)","11/01/1977","","94","N","","For Profit"
"015191","BROWN NURSING HOME","2334 WASHINGTON STREET","ALEXANDER CITY","AL","35010","Tallapoosa","(IV) Atlanta","256 329-9061","SNF/NF (Dually Certified)","11/01/1977","","68","N","","For Profit"
"015192","ARBOR SPRINGS HEALTH AND REHAB CENTER, LTD","1910 PEPPERELL PKWY","OPELIKA","AL","36801","Lee","(IV) Atlanta","334 749-1471","SNF/NF (Dually Certified)","07/01/1979","","225","N","","For Profit"
"015193","CROWNE HEALTH CARE OF GREENVILLE","408 COUNTRY CLUB DRIVE","GREENVILLE","AL","36037","Butler","(IV) Atlanta","334 382-2693","SNF/NF (Dually Certified)","09/01/1977","","118","N","","For Profit"
"015194","PIEDMONT HEALTH CARE CENTER","30 ROUNDTREE DRIVE","PIEDMONT","AL","36272","Calhoun","(IV) Atlanta","256 447-8258","SNF/NF (Dually Certified)","08/01/1977","","91","N","","Government"
"015195","VILLAGE AT COOK SPRINGS SKILLED NURSING FACILITY","415 COOK SPRINGS","PELL CITY","AL","35125","St. Clair","(IV) Atlanta","205 338-2221","SNF/NF (Dually Certified)","12/01/1977","","168","N","","Non-Profit"
"015196","DIVERSICARE OF LANETT","702 SOUTH 13TH STREET","LANETT","AL","36863","Chambers","(IV) Atlanta","334 644-1111","SNF/NF (Dually Certified)","12/01/1977","","85","N","","For Profit"
"015197","LAFAYETTE EXTENDED CARE","805 HOSPITAL STREET SOUTHWEST","LAFAYETTE","AL","36862","Chambers","(IV) Atlanta","334 864-8854","SNF/NF (Dually Certified)","07/01/1978","","69","N","","For Profit"
"015199","CROWNE HEALTH CARE OF EUFAULA","430 RIVERS AVENUE","EUFAULA","AL","36027","Barbour","(IV) Atlanta","334 687-6627","SNF/NF (Dually Certified)","12/01/1977","","180","N","","For Profit"
"015200","CHEROKEE COUNTY HEALTH AND REHABILITATION CENTER","877 CEDAR BLUFF ROAD","CENTRE","AL","35960","Cherokee","(IV) Atlanta","256 927-5778","SNF/NF (Dually Certified)","12/01/1977","","185","N","","Government"
"015201","GENERATIONS OF RED BAY, LLC","106 TENTH AVENUE NORTHWEST","RED BAY","AL","35582","Franklin","(IV) Atlanta","256 356-4982","SNF/NF (Dually Certified)","01/01/1978","","90","N","","For Profit"
"015202","MCGUFFEY HEALTH & REHABILITATION CENTER","2301 RAINBOW DRIVE","GADSDEN","AL","35999","Etowah","(IV) Atlanta","256 543-3467","SNF/NF (Dually Certified)","12/01/1977","","209","N","","For Profit"
